DATA LENGTH(steps) :
4798
STEP LENGTH(sec) :
0.005000

dPCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REB,         RWY,         RWP,         LSP,         LSR,         LSY,         LEB,         LWY,         LWP,         NKY,         NK1,         NK2,         RF1,         RF2,         RF3,         RF4,         RF5,         LF1,         LF2,         LF3,         LF4,         LF5
-0.000018    1.000000     -0.000002    -0.000177    -0.000003    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000020    1.000000     -0.000002    -0.000202    -0.000003    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000022    1.000000     -0.000002    -0.000226    -0.000003    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000025    1.000000     -0.000002    -0.000255    -0.000004    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000027    1.000000     -0.000002    -0.000284    -0.000004    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000030    1.000000     -0.000002    -0.000317    -0.000004    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000032    1.000000     -0.000003    -0.000351    -0.000005    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000035    1.000000     -0.000003    -0.000389    -0.000005    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000038    1.000000     -0.000003    -0.000427    -0.000005    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000041    1.000000     -0.000002    -0.000469    -0.000006    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
